,Unnamed: 0,label,text,label_num
4696,2784,ham,"Subject: urgent
ed has requested that we compile a list this morning of all parties / points
which we owe gas to , in the event that we need to find a home for excess
volumes today . please email me a list of any meters / contracts that you are
aware of . i am compiling an interim list based upon the rtu variance report
for march , however , i don ' t want to rely on this list as you may be engaged
in balancing at meters with variances .
thank you ,
mary",0
4272,2528,ham,"Subject: eastrans nominations change effective 2 / 6 / 01
please decrease deliveries to eastrans from 60 , 000 mmbtu / dy to 30 mmbtu / dy
for 2 / 6 / 01 .
the redeliveries will be 7300 mmbtu / dy from fuels cotton valley and
22700 mmbtu / dy to pg & e",0
53,3439,ham,"Subject: new enrononline functionality
in order to continually develop and make improvements to the functionality of enrononline we are rolling out several changes tonight , which will be in effect on monday august 20 , 2001 . some of these changes will affect stack manager while others affect the website . a summary of these changes is listed below .
stack manager changes
top of stack limit orders - this feature will allow the price submitted via limit orders to be displayed on the website if their bid or offer is better than the trader ' s stack price . stack manger will list the price and the names of counterparties submitting such orders on the floated stack window . orders will be queued by price and time stamp . when a counterparty trades on a "" top of stack entry "" it will create back to back transactions ; one between enron and the counterparty submitting the order , and the other between enron and the counterparty clicking on the website .
in order to turn on this functionality select the "" allowed top of stack "" option , in the orders section of the product properties page . if regular limit order functionality is desired the "" allowed "" option should be selected .
please note that this feature will be released in a disabled mode and will be turned on sometime next week after determining which business units want to roll this out .
restricted top of stack limit orders - this feature will allow the price submitted only by internal traders via limit orders to be displayed on the website if their bid or offer is better than the trader ' s stack price . stack manger will list price and the names of counterparties submitting such orders on the floated stack window . orders will be queued by price and time stamp . when a counterparty trades on a "" top of stack entry "" it will create back to back transactions one between enron and the counterparty submitting the order , and the other between enron and the counterparty clicking on the website .
in order to turn on this functionality select the "" allowed as restricted top of stack "" option , in the orders section of the product properties page . if regular limit order functionality is desired the "" allowed "" option should be selected . if a product has active orders against it you will not be able to select the "" restricted top of stack "" feature .
advanced filtering ability on all products tab - drop down filtering capability is now available for each field in the all products tab in stack manager . in order to filter click on the arrow next to the field title . a drop down box with a list of attributes will appear . highlight the attribute by which you wish to filter . to turn off the filter click on the arrow and select the "" all "" option from the drop down box .
website changes
new submission screen for restricted top of stack limit orders - the submission screen for products that allow top of stack or restricted top of stack limit orders is as follows .
the submit button on the left makes a submission for a normal transaction , while the button on the right will submit as a limit order . in case of the restricted top of stack limit orders only internal traders will see the new submission box .
price of limit orders
modify limit orders
customers now have the ability to modify the price of any active order . in order to do so highlight the order to be modified and use the plus or minus sign next to the price field on at the top of the "" today ' s orders "" section . the price will move up or down in the same increments as the tick size for that product . once the price is at the desired level click the "" set "" button and the price will be modified . another way to modify the price on a limit order is to click on the price field on a particular limit order . you will see a box with plus , minus and set buttons that allow you to modify that order .
expiration time for limit orders
customers can now place limit orders with expiration times of up to 30 days . currently they may place orders for only up to 12 hours .
float the today ' s orders section
you can now float the "" limit order "" section . in order to do so , right click in the "" today ' s orders "" section and select the float window option . in order to make the window "" stay on top "" right click on the floated window and select the stay on top option .
mid market client - mid market originators will now have the ability to transact on behalf of their customers , while including their desired margin on the trade , on enrononline products . in order to do so click on the bid or offer price , a customised submission window will appear . select the counterparty for whom you wish to transact from a drop down list , enter the desired customer price and margin and click submit . for example if a customer wants to buy nymex sep 01 at 3 . 36 and you wish to have a 1 cent margin , please enter 3 . 36 as the desired price and 0 . 01 as the margin . the system will trade the order when the enrononline offer for nymex sep 01 is at 3 . 35 , book the trade at 3 . 36 and record the 0 . 01 origination amount .
in order to be set up to use this functionality . please call the enrononline product control group .
changes to website passwords - as an added security measure , which has been requested by many customers , some new password rules have been instituted . first , the password cannot be equal to the login id . second , each user will be prompted to change his password every 90 days . these rules apply to all website passwords for both internal and external users .
please note stack manager changes will be available all traders as of monday august 20 , 2001 . the changes to the website will be rolled out to a few internal users on monday with the rest of the internal users being upgraded monday night , and external users by the end of the week . over the next couple of weeks all users will be prompted to change their website passwords .
if you have any questions regarding these changes please contact me at 713 - 853 - 1787 .
savita puthigai
",0
3270,836,ham,"Subject: june ' s update
here is the lastest and greatest .",0
3324,1071,ham,"Subject: re : natural gas nomination for 07 / 00
i went ahead ahead and accepted the nom , put it in at start of the month
pricing on the base ticket and ignored the 9500 limit , because it ' s a good
price ! !
daren j farmer
06 / 26 / 2000 05 : 47 pm
to : lee l papayoti / hou / ect @ ect
cc :
subject : natural gas nomination for 07 / 00
sitara # 139066 has a max of 9500 in the flex nom . is this correct ? should
the additional 1500 be on a swing ticket or included on the index ticket ?
d
- - - - - - - - - - - - - - - - - - - - - - forwarded by daren j farmer / hou / ect on 06 / 26 / 2000
05 : 45 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
michael mitcham @ enron
06 / 26 / 2000 05 : 28 pm
to : david bush / ecf / enron @ enron , mark diedrich / gpgfin / enron @ enron , paul
fox / ecf / enron @ enron , david m johnson / ecf / enron @ enron , robert
lee / ecf / enron @ enron , thomas meers / gpgfin / enron @ enron , maritta
mullet / gpgfin / enron @ enron , james prentice / gpgfin / enron @ enron , kerry
roper / gpgfin / enron @ enron , sally shuler / gpgfin / enron @ enron , daren j
farmer / hou / ect @ ect , lee l papayoti / hou / ect @ ect , steven m elliott / hou / ect @ ect ,
john l nowlan / hou / ect @ ect , fred boas / hou / ect @ ect , gregg lenart / hou / ect @ ect
cc :
subject : natural gas nomination for 07 / 00
enron methanol nominates the following natural gas requirements for the
methanol plant for july 2000 :
36 , 000 mmbtu per day
egpfc nominates the following natural gas requirements for the mtbe plant at
morgan ' s point for july 2000 :
11 , 000 mmbtu per day",0
3507,2314,ham,"Subject: fw : calpine daily gas nomination
> - - - - - original message - - - - -
> from : ricky archer
> sent : tuesday , january 02 , 2001 9 : 27 am
> to : ' aimee . lannou @ enron . com '
> cc : ' dfarmer @ enron . com ' ; ' mmccoy @ enron . com ' ; ' rcotten @ enron . com '
> subject : calpine daily gas nomination
>
> >
>
>
>
> ricky a . archer
> fuel supply
> 700 louisiana , suite 2700
> houston , texas 77002
> 713 - 830 - 8659 direct
> 713 - 830 - 8722 fax
>
- calpine daily gas nomination 1 . doc",0
1428,2346,ham,"Subject: hpl meter # 987195 tatton central point
daren :
on 8 / 1 / 99 recorded flow of 9 mmbtus from hpl ' s pipeline . currently , this
volume is being booked to the hpl strangers gas contract . logistics needs
either ( 10 deal issued , or ( 2 ) approval to write - off this volume to
unaccounted for gas . ( please print , sign , and return original to clem
cernosek ) .
deal / deal ticket # / customer ( seller / buyer )
or
approval to write - off the volumes to unaccounted for gas loss
thanks , clem",0
1856,1061,ham,"Subject: txu at lonestar katy
hey , i spoke with ronnie skerrik and charlie stone this morning and they
agreed that
if lonestar does not bring the gas back to hpl as nomed that the gas will
continue to be
sold to txu . this should elevate any higher vol re - deliveries / make up to
hpl .
please call me with any questions ,
janet",0
3142,55,ham,"Subject: calpine january 2000 nomination
- calpine monthly gas nomination _ _ _ . doc",0
4519,3280,ham,"Subject: i received a fax from cp & l for june 2001 . they nominated 20 k a day
",0
